Region/Income/Sex,Age-standardized suicide rates (per 100 000 population),Age_85+,Age_75-84,Age_65-74,Age_55-64,Age_45-54,Age_35-44,Age_25-34,Age_15-24
Global,10.08688524590164,59.31967213114754,27.469945355191257,20.89617486338798,17.56120218579235,15.460655737704919,12.904918032786885,10.800546448087433,7.7923497267759565
Male,16.139344262295083,121.59453551912569,48.41639344262295,34.465027322404374,28.346994535519126,24.86775956284153,20.74535519125683,17.007650273224044,11.327322404371586
Female,4.53551912568306,27.263387978142077,13.556284153005464,10.121857923497268,7.907650273224044,6.39672131147541,5.116393442622951,4.422950819672131,4.057377049180328
Lower Income,11.076923076923077,131.75,50.746153846153845,37.67307692307692,25.742307692307694,17.134615384615383,9.638461538461538,6.676923076923077,4.538461538461538
Lower Middle,11.968518518518518,75.85555555555555,31.401851851851852,24.303703703703704,19.633333333333333,18.285185185185185,16.227777777777778,12.714814814814815,9.535185185185185
Upper Middle,8.253061224489796,40.10408163265306,20.618367346938776,15.287755102040816,13.093877551020409,11.96938775510204,11.006122448979593,9.871428571428572,6.951020408163266
High Income,9.392592592592592,25.346296296296295,18.548148148148147,14.5,15.603703703703705,14.998148148148148,12.877777777777778,11.714814814814815,8.37962962962963
Asia,6.916279069767442,28.955813953488374,15.506976744186046,11.127906976744185,9.544186046511628,9.276744186046512,9.418604651162791,9.095348837209302,7.097674418604651
Europe,9.730232558139535,32.24883720930232,22.08139534883721,17.306976744186045,17.890697674418604,16.802325581395348,13.19767441860465,10.546511627906977,7.104651162790698
North America,5.595238095238095,14.08095238095238,10.961904761904762,8.757142857142858,8.3,7.419047619047619,7.3428571428571425,7.390476190476191,5.838095238095238
South America,11.441666666666666,34.3,21.25,17.766666666666666,16.791666666666668,14.366666666666667,14.7,16.325,13.025
Africa,13.4,131.10555555555555,50.855555555555554,37.99444444444445,27.770370370370372,22.814814814814813,15.685185185185185,9.87962962962963,5.7444444444444445
Oceania,15.17,43.67,17.93,15.25,15.86,14.77,21.15,24.73,22.62
